transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bus,2022/11/15,PER,Trujillo,Beach,2022/11/15,PER,Trujillo,Central,14,40,0,PEN,-,,
Taxi,2022/11/16,PER,Trujillo,Inn,2022/11/16,PER,Trujillo,Terminal,2.5,10,4,PEN,-,,
Bus,2022/11/16,PER,Trujillo,Terminal,2022/11/16,PER,Huaraz,Terminal,334,540,40,PEN,-,,
Taxi,2022/11/16,PER,Huaraz,Terminal,2022/11/16,PER,Huaraz,Inn,2,10,8,PEN,-,,
Bus,2022/11/17,PER,Huaraz,Central,2022/11/17,PER,Huaraz,Heritage,8,30,2.5,PEN,-,,
Bus,2022/11/17,PER,Huaraz,Heritage,2022/11/17,PER,Huaraz,Central,8,30,2.5,PEN,-,,
Bus,2022/11/18,PER,Huaraz,Terminal,2022/11/18,PER,Lima,Terminal,402,540,40,PEN,North Terminal,,
Bus,2022/11/18,PER,Lima,Terminal,2022/11/18,PER,Lima,Inn,16.9,40,0.5,PEN,MiraFlorres,,
Taxi,2022/11/19,PER,Lima,Central,2022/11/19,PER,Lima,Museum,11.1,20,10,PEN,allogicary,,
Bus,2022/11/19,PER,Lima,Museum,2022/11/19,PER,Lima,Stop,8,30,0.5,PEN,raruco,,
Bus,2022/11/19,PER,Lima,Stop,2022/11/19,PER,Lima,Stop,12,30,0.5,PEN,Centro,,
Bus,2022/11/19,PER,Lima,Stop,2022/11/19,PER,Lima,Inn,12,60,0.5,PEN,MiraFlorres,,
Bus,2022/11/20,PER,Lima,Inn,2022/11/20,PER,Lima,Terminal,16.9,40,0.5,PEN,North Terminal,,
Bus,2022/11/20,PER,Lima,Terminal,2022/11/20,PER,Lima,Terminal,12,30,0.5,PEN,PER Bus,,
Bus,2022/11/20,PER,Lima,Terminal,2022/11/20,PER,Ika,Terminal,305,270,50,PEN,-,,
Tuktuk,2022/11/21,PER,Ika,Inn,2022/11/21,PER,Ika,Terminal,2,5,4,PEN,-,,
Bus,2022/11/21,PER,Ika,Terminal,2022/11/21,PER,Nazca,Terminal,115,180,13,PEN,-,,
Bus,2022/11/22,PER,Nazca,Inn,2022/11/22,PER,Nazca,AirPort,5.3,20,0,PEN,-,,
Cesna,2022/11/22,PER,Nazca,AirPort,2022/11/22,PER,Nazca,AirPort,10,60,0,PEN,tour,,
Bus,2022/11/22,PER,Nazca,AirPort,2022/11/22,PER,Nazca,Inn,5.3,20,0,PEN,-,,
Taxi,2022/11/22,PER,Nazca,Inn,2022/11/22,PER,Nazca,Terminal,2,5,10,PEN,-,,
Bus,2022/11/23,PER,Nazca,Terminal,2022/11/24,PER,Arequipa,Terminal,568,600,100,PEN,-,,
UBER,2022/11/24,PER,Arequipa,Terminal,2022/11/24,PER,Arequipa,Central,2.5,12,13.59,PEN,-,,
UBER,2022/11/26,PER,Arequipa,Central,2022/11/26,PER,Arequipa,Terminal,2.5,10,12.84,PEN,-,,
Bus,2022/11/26,PER,Arequipa,Terminal,2022/11/26,PER,Tacuna,Terminal,370,330,35,PEN,-,,
Taxi,2022/11/26,PER,Tacuna,Border,2022/11/26,CHL,Arica,Border,57.6,60,7000,CLP,-,,
Taxi,2022/11/26,CHL,Arica,Terminal,2022/11/26,CHL,Arica,Inn,3,10,3000,CLP,-,,
Bus,2022/11/28,CHL,Arica,Inn,2022/11/28,CHL,Arica,Terminal,1.5,5,600,CLP,-,,
Bus,2022/11/28,CHL,Arica,Terminal,2022/11/28,CHL,Iquique,Terminal,309,270,12000,CLP,-,,
Bus,2022/11/28,CHL,Iquique,Terminal,2022/11/28,CHL,Iquique,Central,4.3,15,600,CLP,-,,
Bus,2022/11/30,CHL,Iquique,Central,2022/11/30,CHL,Iquique,Terminal,4.3,15,600,CLP,-,,
Bus,2022/11/30,CHL,Iquique,Terminal,2022/11/30,CHL,Antofagasta,Terminal,416,360,20000,CLP,-,,
Bus,2022/11/30,CHL,Antofagasta,Terminal,2022/11/30,CHL,Antofagasta,Central,4.5,40,600,CLP,-,,
Bus,2022/12/1,CHL,Antofagasta,Central,2022/12/1,CHL,Antofagasta,Terminal,4.5,40,600,CLP,-,,
Bus,2022/12/1,CHL,Antofagasta,Terminal,2022/12/1,CHL,La Serena,Terminal,865,750,40000,CLP,-,,
Taxi,2022/12/1,CHL,La Serena,Terminal,2022/12/1,CHL,La Serena,Inn,0.3,5,5000,CLP,-,,
